# Concrete, Ordinary — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/concrete.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.466E+03,3.456E+03
1.03542,3.164E+03,3.156E+03
1.0721,2.889E+03,2.880E+03
1.07210107,2.978E+03,2.968E+03
1.18283,2.302E+03,2.295E+03
1.305,1.775E+03,1.769E+03
1.3050013,1.781E+03,1.775E+03
1.5,1.227E+03,1.223E+03
1.5596,1.104E+03,1.100E+03
1.55960156,1.176E+03,1.169E+03
1.6935,9.419E+02,9.365E+02
1.8389,7.525E+02,7.482E+02
1.83890184,1.631E+03,1.587E+03
2,1.368E+03,1.333E+03
3,4.646E+02,4.552E+02
3.6074,2.804E+02,2.751E+02
3.60740361,2.911E+02,2.844E+02
4,2.188E+02,2.139E+02
4.0381,2.131E+02,2.084E+02
4.03810404,2.520E+02,2.415E+02
5,1.401E+02,1.348E+02
6,8.401E+01,8.094E+01
7.112,5.187E+01,4.995E+01
7.11200711,5.415E+01,5.153E+01
8,3.878E+01,3.689E+01
10,2.045E+01,1.937E+01
15,6.351E+00,5.855E+00
20,2.806E+00,2.462E+00
30,9.601E-01,7.157E-01
40,5.058E-01,2.995E-01
50,3.412E-01,1.563E-01
60,2.660E-01,9.554E-02
80,2.014E-01,5.050E-02
100,1.738E-01,3.649E-02
150,1.436E-01,2.897E-02
200,1.282E-01,2.868E-02
300,1.097E-01,2.969E-02
400,9.783E-02,3.024E-02
500,8.915E-02,3.033E-02
600,8.236E-02,3.015E-02
800,7.227E-02,2.940E-02
1000,6.495E-02,2.843E-02
1250,5.807E-02,2.716E-02
1500,5.288E-02,2.595E-02
2000,4.557E-02,2.395E-02
3000,3.701E-02,2.120E-02
4000,3.217E-02,1.951E-02
5000,2.908E-02,1.840E-02
6000,2.697E-02,1.763E-02
8000,2.432E-02,1.669E-02
10000,2.278E-02,1.617E-02
15000,2.096E-02,1.559E-02
20000,2.030E-02,1.539E-02
