# Lung Tissue (ICRU-44) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/lung.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.803E+03,3.791E+03
1.03542,3.469E+03,3.459E+03
1.0721,3.164E+03,3.155E+03
1.07210107,3.176E+03,3.167E+03
1.5,1.283E+03,1.280E+03
2,5.746E+02,5.727E+02
2.1455,4.707E+02,4.690E+02
2.14550215,4.752E+02,4.732E+02
2.30297,3.883E+02,3.865E+02
2.472,3.170E+02,3.154E+02
2.47200247,3.226E+02,3.206E+02
2.6414,2.668E+02,2.650E+02
2.8224,2.204E+02,2.189E+02
2.82240282,2.248E+02,2.229E+02
3,1.888E+02,1.870E+02
3.6074,1.103E+02,1.091E+02
3.60740361,1.125E+02,1.110E+02
4,8.306E+01,8.181E+01
5,4.296E+01,4.210E+01
6,2.497E+01,2.431E+01
8,1.058E+01,1.010E+01
10,5.459E+00,5.067E+00
15,1.721E+00,1.423E+00
20,8.316E-01,5.740E-01
30,3.815E-01,1.635E-01
40,2.699E-01,7.286E-02
50,2.270E-01,4.393E-02
60,2.053E-01,3.282E-02
80,1.826E-01,2.625E-02
100,1.695E-01,2.550E-02
150,1.493E-01,2.748E-02
200,1.359E-01,2.945E-02
300,1.177E-01,3.167E-02
400,1.053E-01,3.252E-02
500,9.607E-02,3.272E-02
600,8.882E-02,3.257E-02
800,7.800E-02,3.179E-02
1000,7.013E-02,3.077E-02
1250,6.271E-02,2.940E-02
1500,5.706E-02,2.810E-02
2000,4.900E-02,2.586E-02
3000,3.935E-02,2.262E-02
4000,3.374E-02,2.048E-02
5000,3.005E-02,1.898E-02
6000,2.746E-02,1.789E-02
8000,2.407E-02,1.643E-02
10000,2.198E-02,1.551E-02
15000,1.922E-02,1.427E-02
20000,1.794E-02,1.367E-02
