# Muscle, Skeletal (ICRU-44) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/muscle.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.719E+03,3.709E+03
1.03542,3.393E+03,3.383E+03
1.0721,3.094E+03,3.085E+03
1.07210107,3.100E+03,3.091E+03
1.5,1.251E+03,1.247E+03
2,5.594E+02,5.574E+02
2.1455,4.581E+02,4.564E+02
2.14550215,4.626E+02,4.606E+02
2.30297,3.776E+02,3.762E+02
2.472,3.085E+02,3.069E+02
2.47200247,3.140E+02,3.121E+02
2.6414,2.597E+02,2.579E+02
2.8224,2.145E+02,2.130E+02
2.82240282,2.160E+02,2.143E+02
3,1.812E+02,1.796E+02
3.6074,1.057E+02,1.046E+02
3.60740361,1.100E+02,1.083E+02
4,8.127E+01,7.992E+01
5,4.206E+01,4.116E+01
6,2.446E+01,2.377E+01
8,1.037E+01,9.888E+00
10,5.356E+00,4.964E+00
15,1.693E+00,1.396E+00
20,8.205E-01,5.638E-01
30,3.783E-01,1.610E-01
40,2.685E-01,7.192E-02
50,2.262E-01,4.349E-02
60,2.048E-01,3.258E-02
80,1.823E-01,2.615E-02
100,1.693E-01,2.544E-02
150,1.492E-01,2.745E-02
200,1.358E-01,2.942E-02
300,1.176E-01,3.164E-02
400,1.052E-01,3.249E-02
500,9.598E-02,3.269E-02
600,8.874E-02,3.254E-02
800,7.793E-02,3.177E-02
1000,7.007E-02,3.074E-02
1250,6.265E-02,2.938E-02
1500,5.701E-02,2.808E-02
2000,4.896E-02,2.584E-02
3000,3.931E-02,2.259E-02
4000,3.369E-02,2.045E-02
5000,3.000E-02,1.895E-02
6000,2.741E-02,1.786E-02
8000,2.401E-02,1.639E-02
10000,2.192E-02,1.547E-02
15000,1.915E-02,1.421E-02
20000,1.786E-02,1.361E-02
