# Aluminum — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z13.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,1.185E+03,1.183E+03
1.5,4.022E+02,4.001E+02
1.5596,3.621E+02,3.600E+02
1.55960156,3.957E+03,3.829E+03
2,2.263E+03,2.204E+03
3,7.880E+02,7.732E+02
4,3.605E+02,3.545E+02
5,1.934E+02,1.902E+02
6,1.153E+02,1.133E+02
8,5.033E+01,4.918E+01
10,2.623E+01,2.543E+01
15,7.955E+00,7.487E+00
20,3.441E+00,3.094E+00
30,1.128E+00,8.778E-01
40,5.685E-01,3.601E-01
50,3.681E-01,1.840E-01
60,2.778E-01,1.099E-01
80,2.018E-01,5.511E-02
100,1.704E-01,3.794E-02
150,1.378E-01,2.827E-02
200,1.223E-01,2.745E-02
300,1.042E-01,2.816E-02
400,9.276E-02,2.862E-02
500,8.445E-02,2.868E-02
600,7.802E-02,2.851E-02
800,6.841E-02,2.778E-02
1000,6.146E-02,2.686E-02
1250,5.496E-02,2.565E-02
1500,5.006E-02,2.451E-02
2000,4.324E-02,2.266E-02
3000,3.541E-02,2.024E-02
4000,3.106E-02,1.882E-02
5000,2.836E-02,1.795E-02
6000,2.655E-02,1.739E-02
8000,2.437E-02,1.678E-02
10000,2.318E-02,1.650E-02
15000,2.195E-02,1.631E-02
20000,2.168E-02,1.633E-02
