# Calcium — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z20.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,4.867E+03,4.861E+03
1.5,1.714E+03,1.710E+03
2,7.999E+02,7.966E+02
3,2.676E+02,2.650E+02
4,1.218E+02,1.197E+02
4.0381,1.187E+02,1.166E+02
4.03810404,1.023E+03,8.887E+02
5,6.026E+02,5.373E+02
6,3.731E+02,3.387E+02
8,1.726E+02,1.600E+02
10,9.341E+01,8.744E+01
15,2.979E+01,2.804E+01
20,1.306E+01,1.220E+01
30,4.080E+00,3.665E+00
40,1.830E+00,1.538E+00
50,1.019E+00,7.822E-01
60,6.578E-01,4.520E-01
80,3.656E-01,1.958E-01
100,2.571E-01,1.085E-01
150,1.674E-01,4.876E-02
200,1.376E-01,3.639E-02
300,1.116E-01,3.146E-02
400,9.783E-02,3.060E-02
500,8.851E-02,3.019E-02
600,8.148E-02,2.979E-02
800,7.122E-02,2.884E-02
1000,6.388E-02,2.780E-02
1250,5.709E-02,2.650E-02
1500,5.207E-02,2.532E-02
2000,4.524E-02,2.352E-02
3000,3.780E-02,2.147E-02
4000,3.395E-02,2.052E-02
5000,3.170E-02,2.007E-02
6000,3.035E-02,1.992E-02
8000,2.892E-02,1.997E-02
10000,2.839E-02,2.022E-02
15000,2.838E-02,2.088E-02
20000,2.903E-02,2.140E-02
