         1110169 function calls (1109678 primitive calls) in 1.856 seconds

   Ordered by: cumulative time
   List reduced from 482 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.856    1.856 /Users/oishifamily/Projects/viveMonte/chatcarlo/transport.py:248(run_transport)
        1    0.052    0.052    1.640    1.640 /Users/oishifamily/Projects/viveMonte/chatcarlo/transport.py:96(transport_photons)
       23    0.412    0.018    0.678    0.029 /Users/oishifamily/Projects/viveMonte/chatcarlo/physics.py:233(sample_rayleigh_cos_theta)
     2420    0.043    0.000    0.446    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:222(_element_interp_index_frac)
    10018    0.003    0.000    0.404    0.000 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
     5808    0.002    0.000    0.386    0.000 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:1421(searchsorted)
     5808    0.383    0.000    0.383    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
       25    0.013    0.001    0.374    0.015 /Users/oishifamily/Projects/viveMonte/chatcarlo/transport.py:32(_mu_and_parts_batch)
      105    0.000    0.000    0.339    0.003 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:332(mu_rho_parts)
      105    0.000    0.000    0.339    0.003 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:272(_cs_parts)
       68    0.007    0.000    0.336    0.005 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:259(_compound_cs_all)
      651    0.001    0.000    0.330    0.001 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:250(_element_cs_all)
    91462    0.047    0.000    0.257    0.000 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:1538(interp)
       23    0.027    0.001    0.225    0.010 /Users/oishifamily/Projects/viveMonte/chatcarlo/physics.py:89(sample_compton_bound)
     1769    0.024    0.000    0.218    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:242(_element_cs)
        1    0.000    0.000    0.207    0.207 /Users/oishifamily/Projects/viveMonte/chatcarlo/source.py:213(photon_count_through_field)
        1    0.000    0.000    0.206    0.206 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekPy.py:28(__init__)
        1    0.000    0.000    0.206    0.206 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekPy.py:183(set_state_parameters)
        1    0.000    0.000    0.200    0.200 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekPy.py:320(spectrum_from_model)
        1    0.000    0.000    0.200    0.200 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekModel.py:91(get_spectrum_parameters)
        1    0.000    0.000    0.200    0.200 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekAniso.py:37(__init__)
        1    0.007    0.007    0.188    0.188 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekAniso.py:468(__Brems)
    91462    0.182    0.000    0.182    0.000 {built-in method numpy._core._multiarray_umath.interp}
       23    0.004    0.000    0.173    0.008 /Users/oishifamily/Projects/viveMonte/chatcarlo/physics.py:72(sample_compton_element)
       84    0.002    0.000    0.155    0.002 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:381(compton_element_weights)
       84    0.000    0.000    0.152    0.002 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:391(<listcomp>)
       25    0.005    0.000    0.123    0.005 /Users/oishifamily/Projects/viveMonte/chatcarlo/geometry.py:205(material_at)
        1    0.003    0.003    0.115    0.115 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/spekpy/SpekAniso.py:167(__gen_epen_arrays)
        2    0.000    0.000    0.104    0.052 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/scipy/ndimage/_interpolation.py:374(map_coordinates)
        2    0.104    0.052    0.104    0.052 {built-in method scipy.ndimage._nd_image.geometric_transform}
      651    0.076    0.000    0.076    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:255(<dictcomp>)
      300    0.070    0.000    0.071    0.000 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/numpy/_core/numeric.py:323(full)
       25    0.007    0.000    0.062    0.002 /Users/oishifamily/Projects/viveMonte/chatcarlo/geometry.py:214(next_boundary)
       24    0.002    0.000    0.061    0.003 /Users/oishifamily/Projects/viveMonte/chatcarlo/physics.py:149(sample_fluorescence)
       24    0.002    0.000    0.056    0.002 /Users/oishifamily/Projects/viveMonte/chatcarlo/physics.py:132(sample_photo_element)
      150    0.000    0.000    0.047    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/geometry.py:177(_intersect)
       99    0.001    0.000    0.047    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:398(photo_element_weights)
     3392    0.002    0.000    0.047    0.000 /Users/oishifamily/Projects/viveMonte/.venv/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:64(__call__)
      150    0.000    0.000    0.047    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/geometry.py:166(_contains)
      696    0.042    0.000    0.045    0.000 /Users/oishifamily/Projects/viveMonte/chatcarlo/materials.py:475(material_groups)


