# Adipose Tissue (ICRU-44) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/adipose.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,2.628E+03,2.623E+03
1.03542,2.392E+03,2.387E+03
1.0721,2.176E+03,2.171E+03
1.07210107,2.182E+03,2.177E+03
1.5,8.622E+02,8.601E+02
2,3.800E+02,3.787E+02
2.472,2.053E+02,2.043E+02
2.47200247,2.072E+02,2.060E+02
2.6414,1.707E+02,1.696E+02
2.8224,1.405E+02,1.396E+02
2.82240282,1.420E+02,1.409E+02
3,1.188E+02,1.178E+02
4,5.054E+01,4.983E+01
5,2.587E+01,2.531E+01
6,1.494E+01,1.446E+01
8,6.300E+00,5.917E+00
10,3.268E+00,2.935E+00
15,1.083E+00,8.103E-01
20,5.677E-01,3.251E-01
30,3.063E-01,9.495E-02
40,2.396E-01,4.575E-02
50,2.123E-01,3.085E-02
60,1.974E-01,2.567E-02
80,1.800E-01,2.358E-02
100,1.688E-01,2.433E-02
150,1.500E-01,2.737E-02
200,1.368E-01,2.959E-02
300,1.187E-01,3.194E-02
400,1.062E-01,3.283E-02
500,9.696E-02,3.304E-02
600,8.965E-02,3.289E-02
800,7.873E-02,3.211E-02
1000,7.078E-02,3.108E-02
1250,6.330E-02,2.970E-02
1500,5.760E-02,2.839E-02
2000,4.940E-02,2.610E-02
3000,3.955E-02,2.275E-02
4000,3.377E-02,2.050E-02
5000,2.995E-02,1.891E-02
6000,2.725E-02,1.773E-02
8000,2.368E-02,1.612E-02
10000,2.145E-02,1.509E-02
15000,1.843E-02,1.365E-02
20000,1.698E-02,1.293E-02
