# Air, Dry (near sea level) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/air.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.606E+03,3.599E+03
1.5,1.191E+03,1.188E+03
2,5.279E+02,5.262E+02
3,1.625E+02,1.614E+02
3.2029,1.340E+02,1.330E+02
3.2029032,1.485E+02,1.460E+02
4,7.788E+01,7.636E+01
5,4.027E+01,3.931E+01
6,2.341E+01,2.270E+01
8,9.921E+00,9.446E+00
10,5.120E+00,4.742E+00
15,1.614E+00,1.334E+00
20,7.779E-01,5.389E-01
30,3.538E-01,1.537E-01
40,2.485E-01,6.833E-02
50,2.080E-01,4.098E-02
60,1.875E-01,3.041E-02
80,1.662E-01,2.407E-02
100,1.541E-01,2.325E-02
150,1.356E-01,2.496E-02
200,1.233E-01,2.672E-02
300,1.067E-01,2.872E-02
400,9.549E-02,2.949E-02
500,8.712E-02,2.966E-02
600,8.055E-02,2.953E-02
800,7.074E-02,2.882E-02
1000,6.358E-02,2.789E-02
1250,5.687E-02,2.666E-02
1500,5.175E-02,2.547E-02
2000,4.447E-02,2.345E-02
3000,3.581E-02,2.057E-02
4000,3.079E-02,1.870E-02
5000,2.751E-02,1.740E-02
6000,2.522E-02,1.647E-02
8000,2.225E-02,1.525E-02
10000,2.045E-02,1.450E-02
15000,1.810E-02,1.353E-02
20000,1.705E-02,1.311E-02
