# Tissue, Soft (ICRU-44) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/tissue.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.712E+03,3.701E+03
1.03542,3.386E+03,3.376E+03
1.0721,3.087E+03,3.079E+03
1.07210107,3.099E+03,3.090E+03
1.5,1.251E+03,1.247E+03
2,5.596E+02,5.577E+02
2.1455,4.583E+02,4.566E+02
2.14550215,4.650E+02,4.629E+02
2.30297,3.800E+02,3.782E+02
2.472,3.102E+02,3.086E+02
2.47200247,3.158E+02,3.137E+02
2.6414,2.612E+02,2.594E+02
2.8224,2.158E+02,2.142E+02
2.82240282,2.188E+02,2.169E+02
3,1.836E+02,1.819E+02
3.6074,1.073E+02,1.061E+02
3.60740361,1.105E+02,1.089E+02
4,8.161E+01,8.030E+01
5,4.224E+01,4.135E+01
6,2.456E+01,2.389E+01
8,1.042E+01,9.935E+00
10,5.379E+00,4.987E+00
15,1.699E+00,1.402E+00
20,8.230E-01,5.663E-01
30,3.790E-01,1.616E-01
40,2.688E-01,7.216E-02
50,2.264E-01,4.360E-02
60,2.048E-01,3.264E-02
80,1.823E-01,2.617E-02
100,1.693E-01,2.545E-02
150,1.492E-01,2.745E-02
200,1.358E-01,2.942E-02
300,1.175E-01,3.164E-02
400,1.052E-01,3.249E-02
500,9.598E-02,3.269E-02
600,8.873E-02,3.254E-02
800,7.793E-02,3.176E-02
1000,7.006E-02,3.074E-02
1250,6.265E-02,2.938E-02
1500,5.701E-02,2.807E-02
2000,4.895E-02,2.583E-02
3000,3.931E-02,2.259E-02
4000,3.369E-02,2.045E-02
5000,3.000E-02,1.895E-02
6000,2.741E-02,1.786E-02
8000,2.401E-02,1.639E-02
10000,2.193E-02,1.547E-02
15000,1.915E-02,1.422E-02
20000,1.787E-02,1.362E-02
