# Oxygen — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z08.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,4.590E+03,4.576E+03
1.5,1.549E+03,1.545E+03
2,6.949E+02,6.926E+02
3,2.171E+02,2.158E+02
4,9.315E+01,9.221E+01
5,4.790E+01,4.715E+01
6,2.770E+01,2.708E+01
8,1.163E+01,1.116E+01
10,5.952E+00,5.565E+00
15,1.836E+00,1.545E+00
20,8.651E-01,6.179E-01
30,3.779E-01,1.729E-01
40,2.585E-01,7.530E-02
50,2.132E-01,4.414E-02
60,1.907E-01,3.207E-02
80,1.678E-01,2.468E-02
100,1.551E-01,2.355E-02
150,1.361E-01,2.506E-02
200,1.237E-01,2.679E-02
300,1.070E-01,2.877E-02
400,9.566E-02,2.953E-02
500,8.729E-02,2.971E-02
600,8.070E-02,2.957E-02
800,7.087E-02,2.887E-02
1000,6.372E-02,2.794E-02
1250,5.697E-02,2.669E-02
1500,5.185E-02,2.551E-02
2000,4.459E-02,2.350E-02
3000,3.597E-02,2.066E-02
4000,3.100E-02,1.882E-02
5000,2.777E-02,1.757E-02
6000,2.552E-02,1.668E-02
8000,2.263E-02,1.553E-02
10000,2.089E-02,1.483E-02
15000,1.866E-02,1.396E-02
20000,1.770E-02,1.360E-02
