# Iron — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z26.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,9.085E+03,9.052E+03
1.5,3.399E+03,3.388E+03
2,1.626E+03,1.620E+03
3,5.576E+02,5.535E+02
4,2.567E+02,2.536E+02
5,1.398E+02,1.372E+02
6,8.484E+01,8.265E+01
7.112,5.319E+01,5.133E+01
7.11200711,4.076E+02,2.978E+02
8,3.056E+02,2.316E+02
10,1.706E+02,1.369E+02
15,5.708E+01,4.896E+01
20,2.568E+01,2.260E+01
30,8.176E+00,7.251E+00
40,3.629E+00,3.155E+00
50,1.958E+00,1.638E+00
60,1.205E+00,9.555E-01
80,5.952E-01,4.104E-01
100,3.717E-01,2.177E-01
150,1.964E-01,7.961E-02
200,1.460E-01,4.825E-02
300,1.099E-01,3.361E-02
400,9.400E-02,3.039E-02
500,8.414E-02,2.914E-02
600,7.704E-02,2.836E-02
800,6.699E-02,2.714E-02
1000,5.995E-02,2.603E-02
1250,5.350E-02,2.472E-02
1500,4.883E-02,2.360E-02
2000,4.265E-02,2.199E-02
3000,3.621E-02,2.042E-02
4000,3.312E-02,1.990E-02
5000,3.146E-02,1.983E-02
6000,3.057E-02,1.997E-02
8000,2.991E-02,2.050E-02
10000,2.994E-02,2.108E-02
15000,3.092E-02,2.221E-02
20000,3.224E-02,2.292E-02
