# Lead — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z82.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,5.210E+03,5.197E+03
1.5,2.356E+03,2.344E+03
2,1.285E+03,1.274E+03
2.484,8.006E+02,7.895E+02
2.48400248,1.397E+03,1.366E+03
2.53429,1.726E+03,1.682E+03
2.5856,1.944E+03,1.895E+03
2.58560259,2.458E+03,2.390E+03
3,1.965E+03,1.913E+03
3.0664,1.857E+03,1.808E+03
3.06640307,2.146E+03,2.090E+03
3.3013,1.796E+03,1.748E+03
3.5542,1.496E+03,1.459E+03
3.55420355,1.585E+03,1.546E+03
3.69948,1.442E+03,1.405E+03
3.8507,1.311E+03,1.279E+03
3.85070385,1.368E+03,1.335E+03
4,1.251E+03,1.221E+03
5,7.304E+02,7.124E+02
6,4.672E+02,4.546E+02
8,2.287E+02,2.207E+02
10,1.306E+02,1.247E+02
13.0352,6.701E+01,6.270E+01
13.035213,1.621E+02,1.291E+02
15,1.116E+02,9.100E+01
15.2,1.078E+02,8.807E+01
15.2000152,1.485E+02,1.131E+02
15.5269,1.416E+02,1.083E+02
15.8608,1.344E+02,1.032E+02
15.8608159,1.548E+02,1.180E+02
20,8.636E+01,6.899E+01
30,3.032E+01,2.536E+01
40,1.436E+01,1.211E+01
50,8.041E+00,6.740E+00
60,5.021E+00,4.149E+00
80,2.419E+00,1.916E+00
88.0045,1.910E+00,1.482E+00
88.004588,7.683E+00,2.160E+00
100,5.549E+00,1.976E+00
150,2.014E+00,1.056E+00
200,9.985E-01,5.870E-01
300,4.031E-01,2.455E-01
400,2.323E-01,1.370E-01
500,1.614E-01,9.128E-02
600,1.248E-01,6.819E-02
800,8.870E-02,4.644E-02
1000,7.102E-02,3.654E-02
1250,5.876E-02,2.988E-02
1500,5.222E-02,2.640E-02
2000,4.606E-02,2.360E-02
3000,4.234E-02,2.322E-02
4000,4.197E-02,2.449E-02
5000,4.272E-02,2.600E-02
6000,4.391E-02,2.744E-02
8000,4.675E-02,2.989E-02
10000,4.972E-02,3.181E-02
15000,5.658E-02,3.478E-02
20000,6.206E-02,3.595E-02
